Dr. Meter,EVT2-H43_D232,EVT2-H21,EVT2-H46_D232
6,1,0,1
115,22,5,27
157,28,7,27
180,29,9,32
352,44,11,60
175,54,15,70
202,58,12,63
583,59,10,61
238,64,10,62
318,65,14,74
284,85,15,88
333,121,29,168
412,138,33,168
353,140,29,146
622,145,32,150
1055,151,44,247
387,188,36,175
394,197,38,186
1137,202,48,263
1695,262,55,298
792,264,51,240
3760,525,112,543
6750,825,149,979
6700,993,163,938
7280,1119,200,1249
8300,1548,220,1289
8200,1773,318,1659
8430,1973,358,1796
8850,2533,475,2323